index,지역명,연도,월,평당분양가격,전용면적
140,경기,2018,12,14648.699999999999,60㎡
141,경기,2018,12,13629.0,60㎡~85㎡
142,경기,2018,12,16130.4,85㎡~102㎡
143,경기,2018,12,16252.5,102㎡~
144,경기,2019,1,14652.0,60㎡
145,경기,2019,1,13912.8,60㎡~85㎡
146,경기,2019,1,16186.5,85㎡~102㎡
147,경기,2019,1,16272.3,102㎡~
148,경기,2019,2,14665.199999999999,60㎡
149,경기,2019,2,13912.8,60㎡~85㎡
150,경기,2019,2,16559.399999999998,85㎡~102㎡
151,경기,2019,2,16318.5,102㎡~
152,경기,2019,3,13860.0,60㎡
153,경기,2019,3,14440.8,60㎡~85㎡
154,경기,2019,3,15249.3,85㎡~102㎡
155,경기,2019,3,16929.0,102㎡~
156,경기,2019,4,13810.5,60㎡
157,경기,2019,4,14470.5,60㎡~85㎡
158,경기,2019,4,15368.099999999999,85㎡~102㎡
159,경기,2019,4,17595.6,102㎡~
160,경기,2019,5,14734.5,60㎡
161,경기,2019,5,14150.4,60㎡~85㎡
162,경기,2019,5,16668.3,85㎡~102㎡
163,경기,2019,5,18711.0,102㎡~
164,경기,2019,6,15216.3,60㎡
165,경기,2019,6,15018.3,60㎡~85㎡
166,경기,2019,6,17371.2,85㎡~102㎡
167,경기,2019,6,18707.7,102㎡~
168,경기,2019,7,14592.599999999999,60㎡
169,경기,2019,7,14127.3,60㎡~85㎡
170,경기,2019,7,17371.2,85㎡~102㎡
171,경기,2019,7,18245.7,102㎡~
172,경기,2019,8,15450.599999999999,60㎡
173,경기,2019,8,14236.199999999999,60㎡~85㎡
174,경기,2019,8,17437.2,85㎡~102㎡
175,경기,2019,8,17724.3,102㎡~
176,경기,2019,9,15899.4,60㎡
177,경기,2019,9,14612.4,60㎡~85㎡
178,경기,2019,9,17437.2,85㎡~102㎡
179,경기,2019,9,17724.3,102㎡~
180,경기,2019,10,16090.8,60㎡
181,경기,2019,10,14364.9,60㎡~85㎡
182,경기,2019,10,17437.2,85㎡~102㎡
183,경기,2019,10,17463.6,102㎡~
184,경기,2019,11,16120.5,60㎡
185,경기,2019,11,14325.3,60㎡~85㎡
186,경기,2019,11,17437.2,85㎡~102㎡
187,경기,2019,11,17628.6,102㎡~
188,경기,2019,12,16272.3,60㎡
189,경기,2019,12,14487.0,60㎡~85㎡
190,경기,2019,12,17945.399999999998,85㎡~102㎡
191,경기,2019,12,17094.0,102㎡~
192,경기,2020,1,16298.699999999999,60㎡
193,경기,2020,1,14533.199999999999,60㎡~85㎡
194,경기,2020,1,18031.2,85㎡~102㎡
195,경기,2020,1,17173.2,102㎡~
196,경기,2020,2,16229.4,60㎡
197,경기,2020,2,14526.599999999999,60㎡~85㎡
198,경기,2020,2,17879.399999999998,85㎡~102㎡
199,경기,2020,2,16938.899999999998,102㎡~
200,경기,2020,3,16146.9,60㎡
201,경기,2020,3,14440.8,60㎡~85㎡
202,경기,2020,3,17975.1,85㎡~102㎡
203,경기,2020,3,16978.5,102㎡~
204,경기,2020,4,16183.199999999999,60㎡
205,경기,2020,4,14751.0,60㎡~85㎡
206,경기,2020,4,18958.5,85㎡~102㎡
207,경기,2020,4,17094.0,102㎡~
208,경기,2020,5,14275.8,60㎡
209,경기,2020,5,13876.5,60㎡~85㎡
210,경기,2020,5,14701.5,85㎡~102㎡
211,경기,2020,5,14457.3,102㎡~
212,경기,2020,6,14051.4,60㎡
213,경기,2020,6,13510.199999999999,60㎡~85㎡
214,경기,2020,6,14787.3,85㎡~102㎡
215,경기,2020,6,14968.8,102㎡~
216,경기,2020,7,14120.699999999999,60㎡
217,경기,2020,7,14239.5,60㎡~85㎡
218,경기,2020,7,15450.599999999999,85㎡~102㎡
219,경기,2020,7,14328.599999999999,102㎡~
220,경기,2020,8,13556.4,60㎡
221,경기,2020,8,14275.8,60㎡~85㎡
222,경기,2020,8,15615.599999999999,85㎡~102㎡
223,경기,2020,8,14130.599999999999,102㎡~
224,경기,2020,9,13609.199999999999,60㎡
225,경기,2020,9,14407.8,60㎡~85㎡
226,경기,2020,9,15615.599999999999,85㎡~102㎡
227,경기,2020,9,14496.9,102㎡~
228,경기,2020,10,13619.099999999999,60㎡
229,경기,2020,10,14407.8,60㎡~85㎡
230,경기,2020,10,15678.3,85㎡~102㎡
231,경기,2020,10,16077.599999999999,102㎡~
232,경기,2020,11,13625.699999999999,60㎡
233,경기,2020,11,14374.8,60㎡~85㎡
234,경기,2020,11,15104.099999999999,85㎡~102㎡
